Epoch 1089
Wins - A: 15, B: 36

 13 | A | *KNOCKOUT* ['0.00', '0.00', '0.00', '0.00']  -5 | 100 | -10.04 | {'Poison': 2}
  0 | B | Special    ['0.03', '0.00', '0.77', '0.20'] 100 |  70 |  0.01 | {}
  1 | B | Special    ['0.06', '0.00', '0.74', '0.20'] 100 |  40 |  0.01 | {}
  2 | B | Special    ['0.16', '0.00', '0.60', '0.24'] 100 |  10 |  0.01 | {}
  3 | B | Special    ['0.55', '0.00', '0.26', '0.19'] 100 |  10 |  0.00 | {}
  4 | B | Defend     ['0.49', '0.00', '0.30', '0.20'] 100 |  20 |  0.01 | {'Defend': 1}
  5 | B | Special    ['0.31', '0.00', '0.47', '0.22'] 100 |  20 |  0.00 | {}
  6 | B | Attack     ['0.31', '0.00', '0.47', '0.22'] 100 |  30 |  0.01 | {}
  7 | B | Special    ['0.06', '0.00', '0.69', '0.24']  95 |   0 |  0.01 | {'Poison': 2}
  8 | B | Special    ['0.13', '0.03', '0.50', '0.34']  90 |   0 |  0.00 | {'Poison': 2}
  9 | B | Special    ['0.47', '0.00', '0.33', '0.20']  85 |   0 |  0.00 | {'Poison': 1}
 10 | B | Attack     ['0.46', '0.00', '0.34', '0.20']  80 |  10 |  0.01 | {}
 11 | B | Recover    ['0.41', '0.00', '0.41', '0.17']  80 |  70 |  0.01 | {}
 12 | B | Special    ['0.07', '0.00', '0.75', '0.18']  75 |  40 | 10.11 | {'Poison': 2}

Epoch 1096
Wins - A: 15, B: 43

  0 | A | Recover    ['0.19', '0.00', '0.08', '0.73']  95 | 100 | -0.01 | {'Poison': 1}
  1 | A | Attack     ['0.11', '0.00', '0.08', '0.81']  90 | 100 |  0.01 | {'Poison': 2}
  2 | A | Recover    ['0.24', '0.00', '0.09', '0.66']  85 | 100 | -0.01 | {'Poison': 1}
  3 | A | Special    ['0.14', '0.00', '0.10', '0.76']  80 |  70 |  0.01 | {'Poison': 2}
  4 | A | Recover    ['0.15', '0.00', '0.08', '0.77']  75 | 100 |  0.01 | {'Poison': 2}
  5 | A | Recover    ['0.11', '0.00', '0.12', '0.77']  70 | 100 | -0.01 | {'Poison': 1}
  6 | A | Defend     ['0.25', '0.00', '0.20', '0.55']  65 | 100 |  0.01 | {'Defend': 1}
  7 | A | Special    ['0.23', '0.00', '0.29', '0.48']  55 |  70 |  0.01 | {}
  8 | A | Recover    ['0.27', '0.01', '0.20', '0.53']  50 | 100 |  0.01 | {'Poison': 2}
  9 | A | Special    ['0.11', '0.00', '0.28', '0.61']  45 |  70 |  0.01 | {'Poison': 2}
 10 | A | Special    ['0.17', '0.02', '0.47', '0.34']  20 |  40 |  0.01 | {'Poison': 1}
 11 | A | Recover    ['0.17', '0.03', '0.59', '0.22']  15 | 100 |  0.01 | {}
 11 | A | *KNOCKOUT* ['0.00', '0.00', '0.00', '0.00']  -5 | 100 | -9.94 | {}
  0 | B | Special    ['0.04', '0.00', '0.75', '0.21']  95 |  70 |  0.01 | {}
  1 | B | Recover    ['0.18', '0.00', '0.58', '0.24']  75 | 100 |  0.01 | {}
  2 | B | Special    ['0.07', '0.00', '0.66', '0.27']  75 |  70 |  0.01 | {}
  3 | B | Special    ['0.07', '0.00', '0.67', '0.26']  70 |  40 |  0.01 | {'Poison': 2}
  4 | B | Defend     ['0.43', '0.00', '0.39', '0.18']  65 |  50 |  0.01 | {'Poison': 1, 'Defend': 1}
  5 | B | Recover    ['0.38', '0.00', '0.42', '0.20']  60 | 100 |  0.01 | {}
  6 | B | Attack     ['0.11', '0.00', '0.60', '0.28']  60 | 100 |  0.01 | {}
  7 | B | Special    ['0.06', '0.00', '0.64', '0.30']  55 |  70 |  0.01 | {'Poison': 2}
