Epoch 1039
Wins - A: 0, B: 1

  4 | A | Recover    ['0.11', '0.00', '0.10', '0.79']  75 | 100 | -0.01 | {'Poison': 1}
  5 | A | Special    ['0.04', '0.00', '0.09', '0.87']  70 |  70 |  0.01 | {'Poison': 2}
  6 | A | Defend     ['0.12', '0.01', '0.24', '0.63']  45 |  80 |  0.01 | {'Poison': 1, 'Defend': 1}
  7 | A | Special    ['0.22', '0.01', '0.39', '0.39']  40 |  50 |  0.01 | {}
  8 | A | Special    ['0.23', '0.02', '0.41', '0.33']  40 |  20 |  0.01 | {}
  9 | A | Recover    ['0.32', '0.06', '0.20', '0.42']  35 |  80 |  0.01 | {'Poison': 2}
 10 | A | Recover    ['0.14', '0.01', '0.39', '0.46']  30 | 100 |  0.01 | {'Poison': 2}
 11 | A | Recover    ['0.08', '0.01', '0.24', '0.67']  25 | 100 | -0.01 | {'Poison': 2}
 12 | A | Special    ['0.14', '0.01', '0.60', '0.25']  20 |  70 |  0.01 | {'Poison': 1}
 13 | A | Recover    ['0.16', '0.02', '0.48', '0.34']  15 | 100 |  0.01 | {'Poison': 2}
 14 | A | Recover    ['0.12', '0.01', '0.22', '0.64']  10 | 100 | -0.01 | {'Poison': 2}
 14 | A | *KNOCKOUT* ['0.00', '0.00', '0.00', '0.00'] -10 | 100 | -9.95 | {'Poison': 2}
  0 | B | Recover    ['0.04', '0.00', '0.75', '0.21']  95 | 100 | -0.01 | {'Poison': 1}
  1 | B | Special    ['0.09', '0.00', '0.61', '0.30']  70 |  70 |  0.01 | {}
  2 | B | Special    ['0.21', '0.00', '0.53', '0.25']  70 |  40 |  0.01 | {}
  3 | B | Attack     ['0.45', '0.00', '0.38', '0.17']  70 |  50 |  0.01 | {}
  4 | B | Special    ['0.30', '0.00', '0.50', '0.20']  70 |  20 |  0.01 | {}
  5 | B | Attack     ['0.47', '0.01', '0.32', '0.21']  65 |  30 |  0.01 | {'Poison': 2}
  6 | B | Recover    ['0.33', '0.00', '0.46', '0.21']  60 |  90 |  0.01 | {'Poison': 1}
  7 | B | Defend     ['0.06', '0.00', '0.64', '0.30']  55 | 100 |  0.01 | {'Poison': 2, 'Defend': 1}
  8 | B | Special    ['0.04', '0.01', '0.61', '0.34']  50 |  70 |  0.01 | {'Poison': 2}
  9 | B | Special    ['0.26', '0.00', '0.49', '0.25']  45 |  40 |  0.01 | {'Poison': 1}
 10 | B | Special    ['0.51', '0.00', '0.34', '0.15']  40 |  10 |  0.01 | {}
 11 | B | Recover    ['0.43', '0.00', '0.38', '0.19']  40 |  70 |  0.01 | {}
 12 | B | Special    ['0.27', '0.00', '0.47', '0.25']  35 |  40 |  0.01 | {'Poison': 2}
 13 | B | Special    ['0.49', '0.00', '0.35', '0.16']  30 |  10 | 10.14 | {'Poison': 1}

Epoch 1049
Wins - A: 2, B: 9

  0 | A | Recover    ['0.19', '0.00', '0.08', '0.73']  95 | 100 | -0.01 | {'Poison': 1}
  1 | A | Recover    ['0.10', '0.00', '0.08', '0.81']  90 | 100 | -0.01 | {'Poison': 2}
  2 | A | Recover    ['0.14', '0.00', '0.25', '0.61']  65 | 100 | -0.01 | {'Poison': 1}
  3 | A | Recover    ['0.08', '0.00', '0.30', '0.62']  60 | 100 | -0.01 | {'Poison': 2}
  4 | A | Special    ['0.15', '0.00', '0.41', '0.44']  55 |  70 |  0.01 | {'Poison': 1}
